Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (percent);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (percent);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
24;1;+29.0797253488256;0.0901987405701807;COMPLETED;191.73066666666665;6.876801269969144;0;0;0;26.622222222222224;17266417.230769232;57002299.07692308;0;0;0;37778887.11111111;128;10;200;1;104;128;80;2;1000
23;1;+40.3980348832826;0.0758037418140022;COMPLETED;184.1065300854701;5.09336073381679;0;0;0;4.1226666666666665;17596788.444444444;56893288.2962963;0;0;0;37642012.44444445;128;10;200;1;380;450;80;10;1000
22;1;+39.73390567795369;0.0766484032058423;COMPLETED;186.07443162393162;5.253791852509217;0;0;0;3.989333333333333;17549003.259259257;56487480.88888889;0;0;0;37170867.89189189;2048;1;200;1;380;450;80;10;1000
21;1;+36.8440407771168;0.0803238285444432;COMPLETED;190.39233111111113;5.703353213712405;0;0;0;6.333397333333334;18573665.777777776;58555960.88888889;0;0;0;37255623.11111111;2048;10;200;1;380;450;80;10;1000
20;1;+42.013345079294;0.0737493371176438;COMPLETED;187.80679623172753;5.388989240026922;0;0;0;5.087940622222223;18332132.444444444;55454530.37037037;0;0;0;32896682.666666668;2048;10;200;1;380;450;80;10;1000
19;1;+25.611970429473196;0.0946091454631411;COMPLETED;185.33997012467702;8.46024240147309;0;0;0;4.079912813501434;10488947.851851853;42913336.88888889;0;0;0;28912867.555555556;2048;10;50;1;100;450;20;10;1000
18;1;+37.2122908184777;0.0798554760160717;COMPLETED;186.7897435897436;5.739924915250883;0;0;0;2.16;16223505.777777778;55104853.333333336;0;0;0;36438584.88888889;2048;10;200;1;100;450;20;10;1000
17;1;+33.7143596133934;0.0843042601028733;COMPLETED;186.69802;5.809066223762752;0;0;0;2.496;17753722.666666668;55842891.85185185;0;0;0;40621511.11111111;2048;1;200;1;380;450;20;10;1000
16;1;+16.714687667609994;0.10592500265016;COMPLETED;179.2953928205128;7.689896427393577;0;0;0;34.928;24479406.814814813;70485788.44444445;0;0;0;47680398.222222224;2048;10;200;1;100;450;80;10;20000
15;1;+39.787063555026705;0.0765807952673937;COMPLETED;188.30505150045713;5.591088610287818;0;0;0;4.358953257342699;19619409.48148148;56267358.81481481;0;0;0;34200917.333333336;2048;10;200;1;100;450;20;10;1000
14;1;+33.6675065662319;0.0843638493510344;COMPLETED;184.13966896882494;7.176467700454822;0;0;0;1.584;9666947.851851853;42299543.7037037;0;0;0;28939605.333333332;2048;10;50;1;380;450;78;10;1000
