Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (spans/s);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (spans/s);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
37;1;+35.271582617053895;0.0464705579058356;COMPLETED;554.4076374358974;12.481974335172279;0;0;0;0.20266666666666666;9367993.23076923;42349646.76923077;0;0;0;23092545.828571428;2048;10;50;1;104;450;20;10;1000
36;1;+33.944313094884606;0.0474234462612192;COMPLETED;557.2680448717948;12.938170341981127;0;0;0;0;9953725.037037037;42676830.81481481;0;0;0;23136028.444444444;2048;10;50;1;100;450;20;10;1000
35;1;+34.8688997221259;0.0467596565667179;COMPLETED;556.8513541025641;12.606964259514548;0;0;0;0.512;10086576.296296297;42653013.333333336;0;0;0;23134549.333333332;2048;1;50;1;100;128;80;10;1000
34;1;+31.1232760744507;0.0494487570831569;COMPLETED;555.084642051282;12.839318337178506;0;0;0;0.22762256410256412;10072677.925925925;43991343.40740741;0;0;0;25522972.444444444;2048;10;50;1;380;450;20;9;1000
33;1;+20.712937013827705;0.0569226655100223;COMPLETED;550.4177107692308;14.819498495977953;0;0;0;5.7024384;12758547.555555556;47031789.03703704;0;0;0;29295616;2048;10;50;1;380;450;20;10;2375
32;1;-9.805506999010994;0.0788328121972833;COMPLETED;556.7379138461539;24.072740021981495;0;0;0;48.26133333333333;15806265.481481481;53083401.481481485;0;0;0;32950272;2048;10;50;1;380;450;20;10;12000
31;1;+36.4617148389685;0.0456161247129633;COMPLETED;556.0308902564102;11.691292777759854;0;0;0;0.5493333333333333;10053148.444444444;44235889.777777776;0;0;0;23873080.888888888;2048;10;50;1;380;448;20;10;1000
30;1;+30.152585807285703;0.0501456460245634;COMPLETED;550.9786488034188;14.626804369432314;0;0;0;0.16;10443554.962962963;41438321.777777776;0;0;0;22432654.222222224;128;1;50;1;380;450;20;10;1000
29;1;+34.5612495408962;0.0469805282663455;COMPLETED;559.876923076923;12.654510586352012;0;0;0;0.8959999999999999;10256482.76923077;44650653.538461536;0;0;0;23269603.555555556;2048;10;50;1;380;450;20;10;1000
28;1;+33.9216553085788;0.0474397129955704;COMPLETED;549.5757448717949;12.670956741247673;0;0;0;0.7626666666666666;10320762.074074075;44913398.518518515;0;0;0;23727331.555555556;2048;10;50;1;380;450;20;10;1000
27;1;+35.815224700015904;0.0460802602295172;COMPLETED;555.2631192469196;11.832390602632938;0;0;0;1.0186666666666666;10584240.592592593;43460987.25925926;0;0;0;24068437.333333332;2048;10;50;1;380;450;20;10;1000
