Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (spans/s);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (spans/s);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
25;1;+39.225515684136404;0.0874347723620806;COMPLETED;2410.8629394871796;22.075337027394482;0;0;0;0.38666666666666666;21019029.037037037;65338633.481481485;0;0;0;46475946.666666664;128;5;200;1;100;128;20;10;1000
24;1;+31.7900731949205;0.0981319626183909;COMPLETED;2407.067081025641;26.55199889721805;0;0;0;0;20869709.62962963;64559786.666666664;0;0;0;48348409.08108108;128;5;200;1;100;128;20;10;1000
23;1;+38.7335805747284;0.0881425074386049;COMPLETED;2400.289562393162;24.479710309743;0;0;0;2.173074786324787;18150608.296296295;66064535.7037037;0;0;0;42072519.11111111;128;6;200;1;100;128;20;10;1000
22;1;+32.8716916004507;0.0965758645266546;COMPLETED;2392.995825641026;35.82118370782601;0;0;0;1.563113846153846;12908988.444444444;47769675.85185185;0;0;0;26772138.666666668;2048;1;50;1;100;128;80;10;1000
21;1;+26.7764572223266;0.105344929971537;COMPLETED;2393.57078974359;34.81613199491043;0;0;0;1.869688376068376;13298954.074074075;49007578.074074075;0;0;0;38346183.11111111;128;1;50;1;100;314;20;10;1000
20;1;+23.416840384373007;0.110178329000044;COMPLETED;2408.62758;27.17034888722906;0;0;0;10.895999999999999;31927659.384615384;85304713.84615384;0;0;0;59955200;128;1;200;1;100;128;20;10;3063
19;1;+33.630394367083305;0.0954843373102948;COMPLETED;2409.894904615385;24.70314557368581;0;0;0;36.744;22690272.888888888;68270459.25925925;0;0;0;49475925.333333336;128;1;200;1;100;128;80;2;1000
18;1;+32.9616298271463;0.0964464725874832;COMPLETED;2414.0352205128206;25.49330965460858;0;0;0;37.09898871794872;23628014.51851852;70278409.48148148;0;0;0;48812145.777777776;128;1;200;1;100;128;20;2;1000
17;1;+34.65088696673651;0.0940161794287055;COMPLETED;2383.478562051282;24.271593318817793;0;0;0;0;16453264.888888888;65490640.59259259;0;0;0;48826254.222222224;128;1;200;1;100;128;20;10;1000
16;1;+37.8565296486593;0.0894042992733533;COMPLETED;2403.5599042735043;25.83884253150629;0;0;0;0;22858171.259259257;64071755.85185185;0;0;0;40508643.55555555;128;1;200;1;100;128;20;10;1000
15;1;+29.5647883672297;0.10133342577419;COMPLETED;2401.143653185133;34.73500063055753;0;0;0;1.9392242735042733;12917743.407407407;49601498.074074075;0;0;0;34213091.55555555;128;10;50;1;100;128;80;10;1000
14;1;+37.751864225523505;0.0895548788718324;COMPLETED;2412.776862051282;26.274303330908616;0;0;0;0.6293333333333333;23421364.615384616;65758601.84615385;0;0;0;39735182.222222224;128;1;200;1;100;128;20;10;1000
13;1;+37.2658442018021;0.0902541040584524;COMPLETED;2384.853398860475;32.85427023330065;0;0;0;0.168;13105500.444444444;46336682.666666664;0;0;0;26355598.222222224;128;1;50;1;100;128;80;10;1000
12;1;+31.854737969953394;0.0980389309793982;COMPLETED;2411.624864957265;34.743331846442786;0;0;0;0;13026149.629629629;47291505.777777776;0;0;0;30657763.555555556;2048;1;50;1;100;128;80;10;1000
11;1;+35.2890149201432;0.0930981202633818;COMPLETED;2388.886505982906;25.22982973414856;0;0;0;30.744;18414044.740740743;63817955.55555555;0;0;0;45782698.666666664;128;3;164;1;100;128;26;10;1000
10;1;-3.579465871734011;0.149017258177162;COMPLETED;2393.4444361795813;48.06022032596728;0;0;0;0;23740488.888888888;154274019.55555555;0;0;0;56797525.333333336;1028;9;130;2;179;339;48;6;2031
9;1;-28.392494576012005;0.184715159044518;COMPLETED;2383.5880027350427;59.91352629621169;0;0;0;405.05833333333334;27441720.888888888;136375864.8888889;0;0;0;69673073.77777778;1688;9;97;2;152;390;23;5;7188
